VTX, IDX, in_Position0.x, in_Position0.y, in_Position0.z, in_Texcoord0.x, in_Texcoord0.y, in_Color0.x, in_Color0.y, in_Color0.z, in_Color0.w
0, 10590,  33941.00,  0.00,  0.00,  1.00,  1.00,  0.00392,  0.00392,  0.00392,  1.00
1, 10615,  32682.375,  9157.17285, -1060.65625,  0.95652,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
2, 10591,  32682.375,  9157.17285,  0.00,  0.95652,  1.00,  0.00392,  0.00392,  0.00392,  1.00
3, 10590,  33941.00,  0.00,  0.00,  1.00,  1.00,  0.00392,  0.00392,  0.00392,  1.00
4, 10614,  33941.00,  0.00, -1060.65625,  1.00,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
5, 10615,  32682.375,  9157.17285, -1060.65625,  0.95652,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
6, 10591,  32682.375,  9157.17285,  0.00,  0.95652,  1.00,  0.00392,  0.00392,  0.00392,  1.00
7, 10616,  28999.84961,  17635.19922, -1060.65625,  0.91304,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
8, 10592,  28999.84961,  17635.19922,  0.00,  0.91304,  1.00,  0.00392,  0.00392,  0.00392,  1.00
9, 10591,  32682.375,  9157.17285,  0.00,  0.95652,  1.00,  0.00392,  0.00392,  0.00392,  1.00
10, 10615,  32682.375,  9157.17285, -1060.65625,  0.95652,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
11, 10616,  28999.84961,  17635.19922, -1060.65625,  0.91304,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
12, 10592,  28999.84961,  17635.19922,  0.00,  0.91304,  1.00,  0.00392,  0.00392,  0.00392,  1.00
13, 10617,  23166.53516,  24805.30469, -1060.65625,  0.86957,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
14, 10593,  23166.53516,  24805.30469,  0.00,  0.86957,  1.00,  0.00392,  0.00392,  0.00392,  1.00
15, 10592,  28999.84961,  17635.19922,  0.00,  0.91304,  1.00,  0.00392,  0.00392,  0.00392,  1.00
16, 10616,  28999.84961,  17635.19922, -1060.65625,  0.91304,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
17, 10617,  23166.53516,  24805.30469, -1060.65625,  0.86957,  0.96875,  0.00392,  0.00392,  0.00392,  1.00
